defense,q_attack_frac,best_evasion_tpr,best_evasion_tpr_ci95,optimal_forge_target,binding_channel,z_mu,z_var
D1_RF,0.1,0.575,0.099069,0.0,variance,1.9109,3.7765
D1_RF,0.2,0.966667,0.029977,0.0,variance,3.4219,9.0307
D1_RF,0.3,0.983333,0.022483,0.0,variance,5.0221,12.6512
D1_RF,0.4,0.983333,0.022483,0.0,variance,6.3585,14.1384
D1_RF,0.5,0.983333,0.022483,0.0,variance,7.8009,14.538
D1_RF,0.6,1.0,0.0,0.0,variance,8.9171,14.1795
D1_RF,0.7,1.0,0.0,0.0,variance,10.6603,11.7288
D1_RF,0.8,1.0,0.0,0.0,mean,11.853,8.8201
D1_RF,0.9,1.0,0.0,0.0,mean,12.9541,5.2736
D1_RF,1.0,1.0,0.0,0.0,mean,14.5743,-1.0089
D2_CNN,0.1,0.566667,0.093001,0.0,variance,1.7568,3.6957
D2_CNN,0.2,0.958333,0.032451,0.0,variance,3.2532,8.8557
D2_CNN,0.3,0.983333,0.022483,0.0,variance,4.837,12.4102
D2_CNN,0.4,0.983333,0.022483,0.0,variance,6.1575,13.857
D2_CNN,0.5,0.983333,0.022483,0.0,variance,7.5838,14.2513
D2_CNN,0.6,1.0,0.0,0.0,variance,8.6889,13.9115
D2_CNN,0.7,1.0,0.0,0.0,variance,10.4133,11.5196
D2_CNN,0.8,1.0,0.0,0.0,mean,11.593,8.6707
D2_CNN,0.9,1.0,0.0,0.0,mean,12.6825,5.2095
D2_CNN,1.0,1.0,0.0,0.0,mean,14.283,-0.9347
D3_RHMD,0.1,0.533333,0.090553,0.0,variance,-1.0532,3.0461
D3_RHMD,0.2,0.916667,0.050273,0.15,variance,1.6199,5.982
D3_RHMD,0.3,0.958333,0.040183,0.3,variance,4.3884,5.3386
D3_RHMD,0.4,0.975,0.035745,0.3,variance,5.2381,5.7648
D3_RHMD,0.5,0.983333,0.022483,0.0,variance,4.2683,12.0078
D3_RHMD,0.6,1.0,0.0,0.0,variance,5.2826,11.7679
D3_RHMD,0.7,1.0,0.0,0.0,variance,6.8641,9.8332
D3_RHMD,0.8,1.0,0.0,0.0,mean,7.9459,7.4554
D3_RHMD,0.9,1.0,0.0,0.0,mean,8.9443,4.6362
D3_RHMD,1.0,1.0,0.0,0.0,mean,10.3973,-0.4888
D4_MTD,0.1,0.55,0.092091,0.0,variance,1.1253,3.6362
D4_MTD,0.2,0.958333,0.032451,0.0,variance,2.611,8.7275
D4_MTD,0.3,0.983333,0.022483,0.0,variance,4.1817,12.2271
D4_MTD,0.4,0.983333,0.022483,0.0,variance,5.4901,13.6435
D4_MTD,0.5,0.983333,0.022483,0.0,variance,6.9044,14.0367
D4_MTD,0.6,1.0,0.0,0.0,variance,8.001,13.7092
D4_MTD,0.7,1.0,0.0,0.0,variance,9.7114,11.3615
D4_MTD,0.8,1.0,0.0,0.0,mean,10.8812,8.558
D4_MTD,0.9,1.0,0.0,0.0,mean,11.9614,5.16
D4_MTD,1.0,1.0,0.0,0.0,mean,13.5468,-0.8815
D5_Stochastic,0.1,0.433333,0.093001,0.3,variance,-1.9542,2.0994
D5_Stochastic,0.2,0.8,0.077158,0.3,variance,-0.9408,4.44
D5_Stochastic,0.3,0.933333,0.043699,0.3,variance,0.1291,5.9906
D5_Stochastic,0.4,0.95,0.041726,0.3,variance,1.0363,6.4907
D5_Stochastic,0.5,0.933333,0.049711,0.3,variance,2.02,6.5028
D5_Stochastic,0.6,0.958333,0.040183,0.3,variance,2.759,6.3291
D5_Stochastic,0.7,0.958333,0.040183,0.3,variance,3.9125,5.2227
D5_Stochastic,0.8,0.958333,0.040183,0.3,mean,4.7136,3.8517
D5_Stochastic,0.9,0.983333,0.022483,0.0,mean,5.004,4.9242
D5_Stochastic,1.0,0.983333,0.022483,0.0,mean,6.526,-0.6755
D6_DRL,0.1,0.55,0.092091,0.0,variance,0.7224,3.5177
D6_DRL,0.2,0.958333,0.032451,0.0,variance,2.1856,8.4662
D6_DRL,0.3,0.983333,0.022483,0.0,variance,3.7308,11.861
D6_DRL,0.4,0.983333,0.022483,0.0,variance,5.0145,13.2146
D6_DRL,0.5,0.983333,0.022483,0.0,variance,6.4042,13.6032
D6_DRL,0.6,1.0,0.0,0.0,variance,7.4833,13.2968
D6_DRL,0.7,1.0,0.0,0.0,variance,9.1664,11.0412
D6_DRL,0.8,1.0,0.0,0.0,mean,10.3171,8.3297
D6_DRL,0.9,1.0,0.0,0.0,mean,11.3788,5.0558
D6_DRL,1.0,1.0,0.0,0.0,mean,12.935,-0.7835
